ID,data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_estrangeiro,confirmados_novos,recuperados,obitos,internados,internados_uci,lab,suspeitos,vigilancia,n_confirmados,cadeias_transmissao,transmissao_importada,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,sintomas_tosse,sintomas_febre,sintomas_dificuldade_respiratoria,sintomas_cefaleia,sintomas_dores_musculares,sintomas_fraqueza_generalizada,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_estrangeiro,recuperados_arsnorte,recuperados_arscentro,recuperados_arslvt,recuperados_arsalentejo,recuperados_arsalgarve,recuperados_acores,recuperados_madeira,recuperados_estrangeiro,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m,confirmados_desconhecidos_m,confirmados_desconhecidos_f,ativos,internados_enfermaria,confirmados_desconhecidos,incidencia_nacional,incidencia_continente,rt_nacional,rt_continente
389,20/03/2021,20/03/2021 00:00,817080,329340,116594,309603,28873,20404,3945,8321,,457,766924,16762,744,170,,,14734,,,,22107,23043,38059,37671,61903,54702,63746,53457,75877,60052,67930,53306,43106,39822,28771,25460,45353,22425,,,,,,,446852,369938,5287,2985,7080,966,351,28,65,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,325,453,1038,1315,2241,5978,5074,7963,8799,,,33394,574,290,87.2,75.7,0.86,0.84
390,21/03/2021,21/03/2021 00:00,817530,329484,116661,309757,28897,20425,3954,8352,,450,767319,16768,765,170,,,14986,,,,22118,23053,38069,37690,61944,54735,63775,53490,75920,60078,67976,53333,43146,39844,28785,25472,45369,22443,,,,,,,447102,370138,5289,2986,7083,966,351,28,65,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,325,454,1039,1315,2242,5979,5076,7965,8803,,,33443,595,290,87.2,75.7,0.86,0.84
391,22/03/2021,22/03/2021 00:00,817778,329542,116688,309842,28910,20469,3965,8362,,248,767874,16784,771,165,,,15080,,,,22120,23054,38071,37696,61967,54750,63790,53505,75935,60095,68000,53360,43175,39855,28790,25485,45385,22455,,,,,,,447233,370255,5289,2989,7095,966,351,28,66,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,326,454,1040,1315,2247,5984,5080,7970,8814,,,33120,606,290,81.3,70.3,0.89,0.88
392,23/03/2021,23/03/2021 00:00,818212,329655,116746,309999,28930,20497,3989,8396,,434,769086,16794,743,159,,,14918,,,,22121,23061,38096,37715,61997,54772,63804,53521,75984,60124,68036,53396,43193,39893,28812,25501,45420,22472,,,,,,,447463,370455,5294,2990,7098,967,351,28,66,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,326,454,1040,1316,2249,5989,5082,7976,8818,,,32332,584,294,81.3,70.3,0.89,0.88
393,24/03/2021,24/03/2021 00:00,818787,329797,116814,310261,28936,20550,3994,8435,,575,769838,16805,712,155,,,14898,,,,22129,23074,38120,37732,62031,54836,63854,53585,76015,60154,68086,53437,43242,39922,28829,25524,45440,22485,,,,,,,447746,370749,5295,2994,7104,967,351,28,66,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,328,454,1040,1316,2249,5995,5085,7982,8823,,,32144,557,292,77.6,66.7,0.91,0.91
394,25/03/2021,25/03/2021 00:00,819210,329923,116873,310443,28953,20572,4003,8443,,423,770448,16814,695,154,,,15035,,,,22136,23084,38129,37746,62048,54862,63877,53638,76048,60183,68105,53485,43279,39960,28847,25540,45463,22502,,,,,,,447932,371000,5295,2995,7111,967,351,28,67,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,328,454,1042,1317,2249,5999,5087,7987,8827,,,31948,541,278,77.6,67.7,0.91,0.91
395,26/03/2021,26/03/2021 00:00,819698,330043,116926,310653,29005,20580,4014,8477,,488,771339,16819,669,155,,,15299,,,,22148,23092,38156,37779,62086,54916,63905,53663,76085,60217,68132,53520,43309,39992,28862,25543,45491,22518,,,,,,,448174,371240,5295,2997,7113,968,351,28,67,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,328,454,1042,1318,2250,6002,5087,7991,8828,,,31540,514,284,75.7,66.8,0.93,0.92
396,27/03/2021,27/03/2021 00:00,820042,330111,116977,310805,29037,20577,4028,8507,,344,775007,16827,618,148,,,15404,,,,22152,23092,38158,37798,62096,54940,63923,53680,76114,60245,68150,53544,43338,40018,28877,25560,45530,22543,,,,,,,448338,371420,5297,2998,7114,968,353,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,329,455,1042,1319,2250,6005,5089,7996,8831,,,28208,470,284,75.7,66.8,0.93,0.92
397,28/03/2021,28/03/2021 00:00,820407,330223,117018,310912,29052,20617,4035,8550,,365,775391,16837,633,142,,,15602,,,,22166,23105,38156,37805,62122,54972,63941,53701,76148,60270,68183,53565,43374,40041,28894,25575,45544,22561,,,,,,,448528,371595,5300,2998,7120,969,353,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,330,456,1042,1320,2251,6006,5094,7999,8838,,,28179,491,284,75.7,66.8,0.93,0.92
398,29/03/2021,29/03/2021 00:00,820716,330316,117043,311051,29068,20636,4044,8558,,309,775849,16843,623,136,,,15625,,,,22178,23114,38172,37831,62134,54994,63963,53714,76174,60285,68196,53588,43410,40067,28897,25582,45555,22579,,,,,,,448679,371754,5300,2998,7125,970,353,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,330,456,1042,1320,2253,6009,5095,8002,8841,,,28024,487,283,70,63.4,0.94,0.93
399,30/03/2021,30/03/2021 00:00,821105,330463,117089,311191,29071,20640,4055,8596,,389,777503,16845,584,129,,,15853,,,,22194,23120,38184,37839,62155,55020,63984,53736,76209,60327,68229,53620,43442,40080,28912,25606,45570,22593,,,,,,,448879,371941,5300,2998,7127,970,353,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,330,456,1043,1320,2253,6010,5095,8003,8842,,,26757,455,285,70,63.4,0.94,0.93
400,31/03/2021,31/03/2021 00:00,821722,330673,117163,311462,29080,20675,4063,8606,,617,778210,16848,558,127,,,15800,,,,22229,23179,38194,37873,62194,55050,64034,53757,76263,60400,68273,53657,43476,40111,28925,25630,45586,22605,,,,,,,449174,372262,5301,2998,7129,970,353,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,129,330,456,1044,1320,2254,6010,5096,8003,8845,,,26664,431,286,65.3,62.4,0.94,0.94
401,01/04/2021,01/04/2021 00:00,822314,330823,117204,311729,29115,20739,4072,8632,,592,778912,16859,538,129,,,15950,,,,22264,23212,38209,37897,62243,55085,64080,53799,76306,60455,68311,53701,43515,40137,28934,25652,45608,22620,,,,,,,449470,372558,5305,2999,7135,970,353,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,130,330,456,1046,1321,2255,6015,5097,8010,8849,,,26543,409,286,65.3,62.4,0.94,0.94
402,02/04/2021,02/04/2021 00:00,822862,331002,117277,311949,29141,20774,4076,8643,,548,779655,16868,513,131,,,16121,,,,22297,23240,38220,37904,62289,55118,64133,53844,76336,60502,68353,53747,43539,40168,28951,25664,45636,22636,,,,,,,449754,372823,5305,3000,7142,970,354,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,130,330,456,1046,1323,2257,6017,5100,8014,8854,,,26339,382,285,65.6,62.9,0.97,0.97
403,03/04/2021,03/04/2021 00:00,823142,331075,117296,312044,29159,20822,4086,8660,,280,779973,16875,512,126,,,16091,,,,22304,23252,38225,37900,62309,55144,64148,53873,76360,60521,68366,53764,43570,40195,28962,25663,45650,22649,,,,,,,449894,372961,5306,3000,7148,970,354,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,130,330,456,1048,1324,2258,6018,5102,8016,8859,,,26294,386,287,65.6,62.9,0.97,0.97
404,04/04/2021,04/04/2021 00:00,823335,331105,117315,312155,29170,20830,4086,8674,,193,780322,16879,517,117,,,16960,,,,22314,23264,38232,37911,62325,55154,64161,53891,76372,60527,68369,53771,43586,40207,28965,25676,45666,22657,,,,,,,449990,373058,5307,3000,7151,970,354,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,130,330,456,1049,1324,2258,6020,5103,8018,8861,,,26134,400,287,65.6,62.9,0.97,0.97
405,05/04/2021,05/04/2021 00:00,823494,331149,117320,312220,29172,20862,4088,8683,,159,780643,16885,536,112,,,15928,,,,22317,23272,38234,37908,62342,55162,64168,53903,76382,60535,68378,53785,43609,40217,28972,25683,45674,22666,,,,,,,450076,373131,5309,3002,7153,970,354,29,68,,,,,,,,,,1,1,1,1,5,7,20,21,61,91,130,330,457,1049,1324,2260,6020,5106,8019,8866,,,25966,424,287,62.8,60.9,0.98,1
